"State","State_Period","Lunge_y_n","Dive_Start","Dive_End","Dive_Max","Duration","File","ID","Begin","End","Interval_Start","Interval_End"
"EF","Day",0,2023-07-24 07:34:47,2023-07-24 07:35:17,5.64603450213838,30.3599999999999,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:34:47Z","2023-07-24T07:35:17Z",2023-07-24 07:35:00,2023-07-24 07:35:30
"EF","Day",0,2023-07-24 07:35:18,2023-07-24 07:35:49,6.2993994099417,30.52,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:18Z","2023-07-24T07:35:49Z",2023-07-24 07:35:30,2023-07-24 07:36:00
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:36:00,2023-07-24 07:36:30
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:36:30,2023-07-24 07:37:00
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:37:00,2023-07-24 07:37:30
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:37:30,2023-07-24 07:38:00
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:38:00,2023-07-24 07:38:30
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:38:30,2023-07-24 07:39:00
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:39:00,2023-07-24 07:39:30
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:39:30,2023-07-24 07:40:00
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:40:00,2023-07-24 07:40:30
"F","Day",1,2023-07-24 07:35:49,2023-07-24 07:41:15,29.5644540898739,325.32,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:35:49Z","2023-07-24T07:41:15Z",2023-07-24 07:40:30,2023-07-24 07:41:00
"SU_F","Day",0,2023-07-24 07:41:15,2023-07-24 07:41:47,1,32.3599999999999,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:41:15Z","2023-07-24T07:41:47Z",2023-07-24 07:41:00,2023-07-24 07:41:30
"SU_F","Day",0,2023-07-24 07:41:15,2023-07-24 07:41:47,1,32.3599999999999,"sun_bp23_205a_divestates_datetime.csv","bp23_205a","2023-07-24T07:41:15Z","2023-07-24T07:41:47Z",2023-07-24 07:41:30,2023-07-24 07:42:00
