Selection	View	Channel	Begin.Time..s.	End.Time..s.	Low.Freq..Hz.	High.Freq..Hz.	Peak.Freq..Hz.	Begin.File	Dur.90...s.	BW.90...Hz.	Center.Freq..Hz.	Freq.5...Hz.	Freq.95...Hz.	PFC.Num.Inf.Pts	Notes	SNR	RMS	FreqRange	CallType	seconds_elapsed	Time_of_Day	Time_Only	Time	Time.y	Period	End_Time
1	Waveform 1	1	7335.800554012	7336.806879644	9.62	62.092	NA	bp23_206f002_2kHz.wav	NA	NA	NA	NA	NA	NA	pulse	10	140	LF	LFD	7335.800554012	2023-07-25T18:01:24Z	18:01:24	2023-07-25T18:01:00Z	2023-07-25T18:01:00Z	Day	2023-07-25T18:02:00Z
1	Spectrogram 1	1	7335.800554012	7336.806879644	9.62	62.092	31.25	bp23_206f002_2kHz.wav	0.576	23.438	23.438	15.625	39.062	0	pulse	10	140	LF	LFD	7335.800554012	2023-07-25T18:01:24Z	18:01:24	2023-07-25T18:01:00Z	2023-07-25T18:01:00Z	Day	2023-07-25T18:02:00Z
3	Waveform 1	1	697.112972301	698.256158219	10.494	72.586	NA	bp23_206f001_2kHz.wav	NA	NA	NA	NA	NA	NA	Call	10	143	LF	LFDB	697.112972301	2023-07-25T16:10:46Z	16:10:46	2023-07-25T16:10:00Z	2023-07-25T16:10:00Z	Day	2023-07-25T16:11:00Z
3	Spectrogram 1	1	697.112972301	698.256158219	10.494	72.586	23.438	bp23_206f001_2kHz.wav	0.64	31.25	23.438	15.625	46.875	4	Call	10	143	LF	LFDB	697.112972301	2023-07-25T16:10:46Z	16:10:46	2023-07-25T16:10:00Z	2023-07-25T16:10:00Z	Day	2023-07-25T16:11:00Z
5	Waveform 1	1	744.1598986	745.629103985	13.118	153.918	NA	bp23_206f001_2kHz.wav	NA	NA	NA	NA	NA	NA	Call	13	148	LF	LFDB	744.1598986	2023-07-25T16:11:33Z	16:11:33	2023-07-25T16:11:00Z	2023-07-25T16:11:00Z	Day	2023-07-25T16:12:00Z
5	Spectrogram 1	1	744.1598986	745.629103985	13.118	153.918	31.25	bp23_206f001_2kHz.wav	0.64	23.438	31.25	23.438	46.875	3	Call	13	148	LF	LFDB	744.1598986	2023-07-25T16:11:33Z	16:11:33	2023-07-25T16:11:00Z	2023-07-25T16:11:00Z	Day	2023-07-25T16:12:00Z
7	Waveform 1	1	1006.789164541	1007.827692594	13.118	199.394	NA	bp23_206f001_2kHz.wav	NA	NA	NA	NA	NA	NA	pulse	12	142	LF	LFDB	1006.789164541	2023-07-25T16:15:55Z	16:15:55	2023-07-25T16:15:00Z	2023-07-25T16:15:00Z	Day	2023-07-25T16:16:00Z
7	Spectrogram 1	1	1006.789164541	1007.827692594	13.118	199.394	31.25	bp23_206f001_2kHz.wav	0.448	46.875	31.25	23.438	70.312	1	pulse	12	142	LF	LFDB	1006.789164541	2023-07-25T16:15:55Z	16:15:55	2023-07-25T16:15:00Z	2023-07-25T16:15:00Z	Day	2023-07-25T16:16:00Z
9	Waveform 1	1	1015.834097877	1016.687462014	10.494	46.35	NA	bp23_206f001_2kHz.wav	NA	NA	NA	NA	NA	NA	pulse	13	143	LF	LFD	1015.834097877	2023-07-25T16:16:04Z	16:16:04	2023-07-25T16:16:00Z	2023-07-25T16:16:00Z	Day	2023-07-25T16:17:00Z
9	Spectrogram 1	1	1015.834097877	1016.687462014	10.494	46.35	31.25	bp23_206f001_2kHz.wav	0.32	15.625	31.25	23.438	39.062	1	pulse	13	143	LF	LFD	1015.834097877	2023-07-25T16:16:04Z	16:16:04	2023-07-25T16:16:00Z	2023-07-25T16:16:00Z	Day	2023-07-25T16:17:00Z
