Selection	View	Channel	Begin.Time..s.	End.Time..s.	Low.Freq..Hz.	High.Freq..Hz.	Dur.90...s.	BW.90...Hz.	Center.Freq..Hz.	Freq.5...Hz.	Freq.95...Hz.	Sel....	Notes	Harmonics.	SNR	RMS	FreqRange	CallType	seconds_elapsed	Time_of_Day	Time_Only	Time	Time.y	Period	End_Time
58	Spectrogram 1	1	32058.945065511	32060.954478027	2.095	37.709	1.664	11.719	3.906	3.906	15.625	sel. 58	nfc 20 Hz? (2)	Y	12	157.8	LF	LFR	32058.945065511	2024-07-27T23:01:52Z	23:01:52	2024-07-27T23:01:00Z	2024-07-27T23:01:00Z	Night	2024-07-27T23:02:00Z
58	Waveform 1	1	32058.945065511	32060.954478027	2.095	37.709	NA	NA	NA	NA	NA	sel. 58	nfc 20 Hz? (2)	Y	12	157.8	LF	LFR	32058.945065511	2024-07-27T23:01:52Z	23:01:52	2024-07-27T23:01:00Z	2024-07-27T23:01:00Z	Night	2024-07-27T23:02:00Z
80	Spectrogram 1	1	40103.394928186	40104.488422439	17.696	41.478	0.512	7.812	31.25	27.344	35.156	sel. 80	nfc 40 Hz?	N	21	176.8	LF	LFC	40103.394928186	2024-07-28T01:15:57Z	01:15:57	2024-07-28T01:15:00Z	2024-07-28T01:15:00Z	Night	2024-07-28T01:16:00Z
80	Waveform 1	1	40103.394928186	40104.488422439	17.696	41.478	NA	NA	NA	NA	NA	sel. 80	nfc 40 Hz?	N	21	176.8	LF	LFC	40103.394928186	2024-07-28T01:15:57Z	01:15:57	2024-07-28T01:15:00Z	2024-07-28T01:15:00Z	Night	2024-07-28T01:16:00Z
78	Spectrogram 1	1	40163.290339176	40164.477294476	0	34.567	0.512	7.812	3.906	0	7.812	sel. 78	20 Hz	Y	10	159.8	LF	BP	40163.290339176	2024-07-28T01:16:57Z	01:16:57	2024-07-28T01:16:00Z	2024-07-28T01:16:00Z	Night	2024-07-28T01:17:00Z
78	Waveform 1	1	40163.290339176	40164.477294476	0	34.567	NA	NA	NA	NA	NA	sel. 78	20 Hz	Y	10	159.8	LF	BP	40163.290339176	2024-07-28T01:16:57Z	01:16:57	2024-07-28T01:16:00Z	2024-07-28T01:16:00Z	Night	2024-07-28T01:17:00Z
112	Spectrogram 1	1	44343.707957925	44345.128565843	12.406	39.699	0.512	11.719	23.438	19.531	31.25	sel. 112	20 Hz	Y	16	162.8	LF	LFD	44343.707957925	2024-07-28T02:26:37Z	02:26:37	2024-07-28T02:26:00Z	2024-07-28T02:26:00Z	Night	2024-07-28T02:27:00Z
112	Waveform 1	1	44343.707957925	44345.128565843	12.406	39.699	NA	NA	NA	NA	NA	sel. 112	20 Hz	Y	16	162.8	LF	LFD	44343.707957925	2024-07-28T02:26:37Z	02:26:37	2024-07-28T02:26:00Z	2024-07-28T02:26:00Z	Night	2024-07-28T02:27:00Z
119	Spectrogram 1	1	44635.80284516	44636.877647203	8.594	39.997	0.512	7.812	19.531	15.625	23.438	sel. 119	20 Hz doublet?	Y	12	159.8	LF	LFC	44635.80284516	2024-07-28T02:31:29Z	02:31:29	2024-07-28T02:31:00Z	2024-07-28T02:31:00Z	Night	2024-07-28T02:32:00Z
119	Waveform 1	1	44635.80284516	44636.877647203	8.594	39.997	NA	NA	NA	NA	NA	sel. 119	20 Hz doublet?	Y	12	159.8	LF	LFC	44635.80284516	2024-07-28T02:31:29Z	02:31:29	2024-07-28T02:31:00Z	2024-07-28T02:31:00Z	Night	2024-07-28T02:32:00Z
